Venue type,Media owner,Screen ID,Unit ID,Screen name,Screen latitude,Screen longitude,Screen width (px),Screen height (px),Physical screen count,Dimensions (W x H),Aspect ratio,Orientation,Site name,Site location (city),Site region (state),Spot length,Allowed languages,Allow Image,Allow Video,Zip code,Country
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_B_PF_4249,21325616,SA_BST_B_PF_4249_North Bridge Rd_Opp The Treasury,1.29053,103.85036,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_4249_B,SA_BST_4249_B,City Hall,10,All / Universal,Yes,No,178879,Singapore
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_A_TF_76221,21325618,SA_BST_A_TF_76221_Tampines Ave 7_Tampines East Stn Exit A,1.35638,103.95393,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_76221_A,SA_BST_76221_A,Tampines East,10,All / Universal,Yes,No,520451,Singapore
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_C-Parallel_TF_76351,21325619,SA_BST_C-Parallel_TF_76351_Tampines Ave 9_Blk 484,1.36213,103.95309,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_76351_C-Parallel,SA_BST_76351_C-Parallel,Tampines East,10,All / Universal,Yes,No,520482,Singapore
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_A_TF_65311,21325620,SA_BST_A_TF_65311_Punggol Dr_Oasis Stn Exit B/Blk 617d,1.40201,103.91285,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_65311_A,SA_BST_65311_A,Waterway East,10,All / Universal,Yes,No,828854,Singapore
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_C-Parallel_TF_4159,21325621,SA_BST_C-Parallel_TF_4159_Victoria St_Aft Chijmes,1.29488,103.85108,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_4159_C-Parallel,SA_BST_4159_C-Parallel,City Hall,10,All / Universal,Yes,No,187995,Singapore
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_A_TF_65319,21325622,SA_BST_A_TF_65319_Punggol Dr_Oasis Stn Exit A,1.40278,103.91227,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_65319_A,SA_BST_65319_A,Waterway East,10,All / Universal,Yes,No,822617,Singapore
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_C_TF_67271,21325627,"SA_BST_C_TF_67271_Sengkang East Rd_Blk 201 Cp, Sengkang East Rd",1.38825,103.89209,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_67271_C,SA_BST_67271_C,Sengkang Town Centre,10,All / Universal,Yes,No,540201,Singapore
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_A-Parallel_TF_10349,21325633,SA_BST_A-Parallel_TF_10349_Henderson Rd_Blk 116,1.28497,103.82101,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_10349_A-Parallel,SA_BST_10349_A-Parallel,Henderson Hill,10,All / Universal,Yes,No,151116,Singapore
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_A-Parallel_TF_10151,21325634,SA_BST_A-Parallel_TF_10151_Tiong Bahru Rd_Ctrl Green Condo,1.2857,103.82865,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_10151_A-Parallel,SA_BST_10151_A-Parallel,Tiong Bahru Station,10,All / Universal,Yes,No,169481,Singapore
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_A_TF_19071,21325635,SA_BST_A_TF_19071_Dover Rd_Opp Acs Independent,1.30518,103.78107,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_19071_A,SA_BST_19071_A,Dover,10,All / Universal,Yes,No,130027,Singapore
