Venue Info,Venue type,Media owner,Screen ID,Unit ID,Screen name,Screen latitude,Screen longitude,Screen width (px),Screen height (px),Physical screen count,Dimensions (W x H),Aspect ratio,Orientation,Site name,Site location (city),Site region (state),Spot length,Allowed languages,Allow Image,Allow Video,Zip code,Country
Bravo - Tuen Ma Line and East Railway Line,Transit > Train Stations > Platform,Bravo Media HK,HUHDPCW004,21285623,"86"" Digital Portrait - Hung Hom - HUHDPCW004",22.30294,114.181944,1080,1920,1,1080x1920,09:16,,Hung Hom - HUH,Yau Tsim Mong,Kowloon,15,All / Universal,No,Yes,,Hong Kong
Bravo - Tuen Ma Line and East Railway Line,Transit > Train Stations > Platform,Bravo Media HK,HUHDPCW005,21285624,"86"" Digital Portrait - Hung Hom - HUHDPCW005",22.30294,114.181944,1080,1920,1,1080x1920,09:16,,Hung Hom - HUH,Yau Tsim Mong,Kowloon,15,All / Universal,No,Yes,,Hong Kong
Bravo - Tuen Ma Line and East Railway Line,Transit > Train Stations > Platform,Bravo Media HK,HUHDPCW006,21285625,"86"" Digital Portrait - Hung Hom - HUHDPCW006",22.30294,114.181944,1080,1920,1,1080x1920,09:16,,Hung Hom - HUH,Yau Tsim Mong,Kowloon,15,All / Universal,No,Yes,,Hong Kong
Bravo - Tuen Ma Line and East Railway Line,Transit > Train Stations > Platform,Bravo Media HK,KATDPCW01,21285626,"86"" Digital Portrait - Kai Tak - KATDPCW01",22.330808,114.199608,1080,1920,1,1080x1920,09:16,,Kai Tak - KAT,Kowloon City,Kowloon,15,All / Universal,No,Yes,,Hong Kong
Bravo - Tuen Ma Line and East Railway Line,Transit > Train Stations > Platform,Bravo Media HK,KATDPCW02,21285627,"86"" Digital Portrait - Kai Tak - KATDPCW02",22.330808,114.199608,1080,1920,1,1080x1920,09:16,,Kai Tak - KAT,Kowloon City,Kowloon,15,All / Universal,No,Yes,,Hong Kong
Bravo - Tuen Ma Line and East Railway Line,Transit > Train Stations > Platform,Bravo Media HK,KOTDPCW001,21285628,"86"" Digital Portrait - Kowloon Tong - KOTDPCW001",22.337188,114.176094,1080,1920,1,1080x1920,09:16,,Kowloon Tong - KOT,Kowloon City,Kowloon,15,All / Universal,No,Yes,,Hong Kong
Bravo - Tuen Ma Line and East Railway Line,Transit > Train Stations > Platform,Bravo Media HK,KOTDPCW002,21285629,"86"" Digital Portrait - Kowloon Tong - KOTDPCW002",22.337188,114.176094,1080,1920,1,1080x1920,09:16,,Kowloon Tong - KOT,Kowloon City,Kowloon,15,All / Universal,No,Yes,,Hong Kong
Bravo - Tuen Ma Line and East Railway Line,Transit > Train Stations > Platform,Bravo Media HK,KOTDPCW003,21285630,"86"" Digital Portrait - Kowloon Tong - KOTDPCW003",22.337188,114.176094,1080,1920,1,1080x1920,09:16,,Kowloon Tong - KOT,Kowloon City,Kowloon,15,All / Universal,No,Yes,,Hong Kong
Bravo - Tuen Ma Line and East Railway Line,Transit > Train Stations > Platform,Bravo Media HK,AUSDMCW001,21285679,"108"" Concourse Digital Landscape - Austin - AUSDMCW001",22.305531,114.16614,1920,1080,1,1920x1080,16:09,,Austin - AUS,Yau Tsim Mong,Kowloon,15,All / Universal,No,Yes,,Hong Kong
Bravo - Tuen Ma Line and East Railway Line,Transit > Train Stations > Platform,Bravo Media HK,ETSDMCW001,21285680,"110"" Concourse Digital Landscape - East Tsim Sha Tsui - ETSDMCW001 (Audio Allowed)",22.294954,114.173501,1920,1080,1,1920x1080,16:09,,East Tsim Sha Tsui - ETS,Yau Tsim Mong,Kowloon,15,All / Universal,No,Yes,,Hong Kong
